DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	20	0.05	E30SUMRY.XLW	
LIMNO_PPR	EB9394L3	East Lake Bonney	BONE30	1	11/24/1993	22	0	E30SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	4	1.1	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	6	1.35	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	8	1.41	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	10	1.58	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	12	2.6	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	13	6.8	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	14	4.12	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	15	2.71	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	17	0.33	W20SUMRY.XLW	
LIMNO_PPR	WB9394L3	West Lake Bonney	BONW20	1	11/26/1993	20	0.38	W20SUMRY.XLW	
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	4	0.85	HORSUMRY.XLW	70.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	6	0.72	HORSUMRY.XLW	68.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	8	0.63	HORSUMRY.XLW	66.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	10	0.61	HORSUMRY.XLW	64.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	12	0.44	HORSUMRY.XLW	62.05994391
